Name,AudSD,AudSeq,AudBeat,VisSD,VisSeq,VisBeat,Musician_years of instruction ( >= 5 -> 2 ),,AudSDIntDiff (T),AudSDIntDiff (F),AudIrregIntDiff (T),AudIrregIntDiff (F),AudRegIntDiff (T),AudRegIntDiff (F),VisSDIntDiff (T),VisSDIntDiff (F),VisIrregIntDiff (T),VisIrregIntDiff (F),VisRegIntDiff (T),VisRegIntDiff (F)
10059,0.79,0.57,0.53,0.76,0.67,0.53,2,,1.81,1.02,2.9,2.78,1.75,1.79,1.87,0.89,2.9,2.74,1.75,1.79
10579,0.9,0.97,1,0.76,0.87,0.9,1,,1.73,0.75,2.87,2.1,1.77,0,1.84,0.99,2.89,2.55,1.85,1
11127,0.9,0.7,0.37,0.71,0.7,0.53,1,,1.74,0.63,2.9,2.72,1.91,1.68,1.99,0.75,2.88,2.77,1.88,1.64
13536,0.79,0.57,0.5,0.57,0.6,0.23,1,,1.78,1.11,2.82,2.88,1.67,1.87,1.85,1.36,2.92,2.73,1.86,1.74
14152,0.79,0.43,0.93,0.57,0.5,0.23,1,,1.88,0.77,3.02,2.71,1.75,2,1.9,1.28,2.99,2.7,1.71,1.78
14876,0.64,0.37,0.37,0.57,0.47,0.4,1,,1.97,1.04,3.06,2.72,1.82,1.74,1.92,1.26,2.76,2.93,1.75,1.78
14903,0.6,0.4,0.53,0.64,0.3,0.27,1,,2.11,0.95,3.1,2.68,1.69,1.86,1.83,1.29,3.12,2.73,1.63,1.82
15359,0.64,0.37,0.3,0.62,0.43,0.33,2,,1.93,1.11,2.92,2.81,1.78,1.76,1.99,1.06,2.87,2.83,2,1.65
15448,0.76,0.43,0.4,0.64,0.37,0.4,1,,1.97,0.59,2.84,2.85,1.75,1.78,1.97,1.03,2.85,2.85,1.58,1.89
16928,0.79,0.53,0.77,0.67,0.6,0.47,2,,1.83,0.93,2.84,2.86,1.78,1.71,1.9,1.12,2.94,2.7,1.86,1.69
19076,0.71,0.47,0.6,0.64,0.67,0.5,1,,1.96,0.84,2.79,2.9,1.72,1.83,1.87,1.22,2.95,2.64,1.87,1.67
19187,0.6,0.5,0.5,0.64,0.67,0.37,2,,1.91,1.24,2.95,2.74,1.73,1.8,1.92,1.13,2.68,3.18,1.82,1.74
20825,0.88,0.43,0.43,0.52,0.4,0.37,1,,1.74,0.9,2.79,2.89,1.77,1.76,2.03,1.21,2.87,2.83,1.82,1.74
20879,0.74,0.77,0.7,0.76,1,0.57,1,,1.9,0.91,2.87,2.76,1.76,1.78,1.86,0.92,2.85,0,1.76,1.77
21046,0.67,0.2,0.13,0.74,0.5,0.47,2,,1.98,0.95,2.7,2.88,1.75,1.77,1.78,1.24,2.67,3.02,1.79,1.75
22244,0.57,0.37,0.33,0.81,0.47,0.4,1,,2.08,1.06,3.1,2.7,1.8,1.75,1.71,1.34,2.73,2.95,1.83,1.72
24907,0.76,0.37,0.17,0.6,0.43,0.43,2,,1.77,1.22,2.88,2.83,1.6,1.8,1.98,1.13,2.81,2.88,1.77,1.76
26083,0.71,0.6,0.57,0.52,0.47,0.33,1,,2.03,0.66,2.89,2.78,1.76,1.77,1.84,1.42,2.76,2.93,1.8,1.75
28498,0.81,0.8,0.67,0.74,0.83,0.33,1,,1.89,0.55,2.9,2.63,1.8,1.7,1.95,0.77,2.84,2.9,1.8,1.75
30003,0.79,0.6,0.63,0.76,0.4,0.33,2,,1.88,0.77,2.78,2.95,1.74,1.82,1.9,0.8,2.78,2.89,1.9,1.7
32082,0.67,0.7,0.73,0.76,0.53,0.37,2,,1.72,1.47,2.96,2.59,1.82,1.63,1.81,1.1,2.71,3,1.64,1.84
32941,0.74,0.4,0.53,0.81,0.77,0.5,1,,1.86,1,2.82,2.87,1.69,1.86,1.86,0.68,2.8,3.01,1.8,1.73
33797,0.69,0.4,0.33,0.62,0.5,0.27,1,,1.87,1.12,3.02,2.73,1.9,1.7,2.13,0.84,2.93,2.77,1.5,1.86
34912,0.9,0.67,0.43,0.76,0.83,0.43,2,,1.76,0.5,2.79,2.96,1.77,1.76,1.78,1.17,2.93,2.42,1.85,1.71
35135,0.88,0.93,0.73,0.79,0.77,0.5,1,,1.78,0.6,2.8,3.5,1.73,1.88,1.92,0.6,2.87,2.76,1.8,1.73
37206,0.76,0.43,0.57,0.48,0.5,0.37,1,,1.88,0.85,3.07,2.68,1.76,1.77,2.03,1.29,2.87,2.82,1.82,1.74
