VisSD,VisSeq,VisBeat,labels
0.76,0.67,0.53,1
0.76,0.87,0.9,1
0.71,0.7,0.53,1
0.57,0.6,0.23,0
0.57,0.5,0.23,0
0.57,0.47,0.4,0
0.64,0.3,0.27,0
0.62,0.43,0.33,0
0.64,0.37,0.4,0
0.67,0.6,0.47,1
0.64,0.67,0.5,1
0.64,0.67,0.37,1
0.52,0.4,0.37,0
0.76,1.0,0.57,1
0.74,0.5,0.47,0
0.81,0.47,0.4,0
0.6,0.43,0.43,0
0.52,0.47,0.33,0
0.74,0.83,0.33,1
0.76,0.4,0.33,0
0.76,0.53,0.37,0
0.81,0.77,0.5,1
0.62,0.5,0.27,0
0.76,0.83,0.43,1
0.79,0.77,0.5,1
0.48,0.5,0.37,0
0.69,0.77,0.7,1
0.67,0.97,0.53,1
0.71,0.3,0.23,0
0.64,0.43,0.47,0
0.69,0.37,0.3,0
0.62,0.53,0.4,0
0.74,0.43,0.3,0
0.38,0.3,0.47,0
0.69,0.33,0.37,0
0.69,0.5,0.5,0
0.79,0.77,0.57,1
0.79,0.83,0.8,1
0.76,0.77,0.5,1
0.76,0.43,0.33,0
0.36,0.83,0.3,1
0.67,0.33,0.47,0
0.55,0.73,0.6,1
0.76,0.9,0.73,1
0.76,0.7,0.73,1
0.69,0.87,0.33,1
0.74,0.9,0.53,1
0.57,0.6,0.3,0
0.83,0.63,0.6,1
0.48,0.4,0.27,0
0.52,0.47,0.37,0
0.48,0.23,0.37,0
0.45,0.43,0.43,0
0.55,0.27,0.33,0
0.83,0.33,0.6,0
0.67,0.37,0.33,0
0.6,0.23,0.23,0
0.55,0.33,0.37,0
0.76,0.33,0.23,0
0.76,0.7,0.73,1
0.74,0.63,0.6,1
0.71,0.67,0.57,1
0.55,0.5,0.3,0
0.74,0.43,0.33,0
0.83,0.43,0.27,0
0.71,0.73,0.6,1
0.48,0.43,0.53,0
0.64,0.27,0.37,0
0.45,0.47,0.43,0
0.64,0.47,0.53,0
0.74,0.53,0.4,0
0.69,0.43,0.27,0
0.43,0.23,0.43,0
0.64,0.3,0.27,0
0.5,0.43,0.2,0
0.57,0.4,0.43,0
0.71,0.63,0.33,0
0.86,0.77,0.47,1
0.76,0.6,0.5,1
0.57,0.6,0.53,1
0.74,0.9,0.67,1
0.83,0.87,0.6,1
0.76,0.33,0.3,0
0.57,0.67,0.4,1
0.6,0.47,0.23,0
0.79,0.47,0.47,0
0.64,0.73,0.4,1
0.76,0.6,0.37,0
0.69,0.53,0.27,0
0.67,0.53,0.47,0
0.79,0.43,0.3,0
0.5,0.57,0.37,0
0.83,0.3,0.47,0
0.64,0.67,0.43,1
0.71,0.43,0.3,0
0.64,0.17,0.47,0
0.71,0.73,0.53,1
0.5,0.5,0.3,0
0.81,0.27,0.4,0
0.62,0.4,0.27,0
0.6,0.4,0.3,0
