Timing.level,Cluster.1,Timing.level2,Cluster.2
Single duration timing,0.57,Single duration timing,0.76
Single duration timing,0.57,Single duration timing,0.76
Single duration timing,0.57,Single duration timing,0.71
Single duration timing,0.64,Single duration timing,0.67
Single duration timing,0.62,Single duration timing,0.64
Single duration timing,0.64,Single duration timing,0.64
Single duration timing,0.52,Single duration timing,0.76
Single duration timing,0.74,Single duration timing,0.74
Single duration timing,0.81,Single duration timing,0.81
Single duration timing,0.6,Single duration timing,0.76
Single duration timing,0.52,Single duration timing,0.79
Single duration timing,0.76,Single duration timing,0.69
Single duration timing,0.76,Single duration timing,0.67
Single duration timing,0.62,Single duration timing,0.79
Single duration timing,0.48,Single duration timing,0.79
Single duration timing,0.71,Single duration timing,0.76
Single duration timing,0.64,Single duration timing,0.36
Single duration timing,0.69,Single duration timing,0.55
Single duration timing,0.62,Single duration timing,0.76
Single duration timing,0.74,Single duration timing,0.76
Single duration timing,0.38,Single duration timing,0.69
Single duration timing,0.69,Single duration timing,0.74
Single duration timing,0.69,Single duration timing,0.83
Single duration timing,0.76,Single duration timing,0.76
Single duration timing,0.67,Single duration timing,0.74
Single duration timing,0.57,Single duration timing,0.71
Single duration timing,0.48,Single duration timing,0.71
Single duration timing,0.52,Single duration timing,0.86
Single duration timing,0.48,Single duration timing,0.76
Single duration timing,0.45,Single duration timing,0.57
Single duration timing,0.55,Single duration timing,0.74
Single duration timing,0.83,Single duration timing,0.83
Single duration timing,0.67,Single duration timing,0.57
Single duration timing,0.6,Single duration timing,0.64
Single duration timing,0.55,Single duration timing,0.64
Single duration timing,0.76,Single duration timing,0.71
Single duration timing,0.55,Sequence timing,0.67
Single duration timing,0.74,Sequence timing,0.87
Single duration timing,0.83,Sequence timing,0.7
Single duration timing,0.48,Sequence timing,0.6
Single duration timing,0.64,Sequence timing,0.67
Single duration timing,0.45,Sequence timing,0.67
Single duration timing,0.64,Sequence timing,1.0
Single duration timing,0.74,Sequence timing,0.83
Single duration timing,0.69,Sequence timing,0.77
Single duration timing,0.43,Sequence timing,0.83
Single duration timing,0.64,Sequence timing,0.77
Single duration timing,0.5,Sequence timing,0.77
